{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'val_loss': 3.271854661901792, 'train_loss': 2.409778646565974, 'bleu_score': 0.020767940299700395}
{'val_loss': 2.627359616756439, 'train_loss': 1.5007988343636194, 'bleu_score': 0.06168767773364064}
{'val_loss': 2.3510769978165627, 'train_loss': 1.15942075997591, 'bleu_score': 0.09065711040551691}
{'val_loss': 2.2218970636526745, 'train_loss': 0.9955217047284047, 'bleu_score': 0.07411840825440247}
{'val_loss': 2.0951194658875467, 'train_loss': 0.8954369330157836, 'bleu_score': 0.12172722595269211}
{'val_loss': 2.0412972291310627, 'train_loss': 0.8254549264907837, 'bleu_score': 0.1049414009748747}
{'val_loss': 1.9707057769099872, 'train_loss': 0.7719653584373494, 'bleu_score': 0.11196517311429999}
{'val_loss': 1.9212631292641162, 'train_loss': 0.7300694366296132, 'bleu_score': 0.13218302920669012}
{'val_loss': 1.8926149452726047, 'train_loss': 0.6963838288250069, 'bleu_score': 0.11678472831108429}
{'val_loss': 1.8973071679472924, 'train_loss': 0.6679626445596417, 'bleu_score': 0.1276318854334085}
{'val_loss': 1.8365996656318506, 'train_loss': 0.6432449360067646, 'bleu_score': 0.12811250635756302}
{'val_loss': 1.8186586727698644, 'train_loss': 0.6220973297177503, 'bleu_score': 0.1392804722564831}
{'val_loss': 1.8103194949527581, 'train_loss': 0.6032761788616577, 'bleu_score': 0.09364029228884052}
{'val_loss': 1.8125849703947703, 'train_loss': 0.5870356088659415, 'bleu_score': 0.11604009327597341}
{'val_loss': 1.7966694278021653, 'train_loss': 0.5720657592328886, 'bleu_score': 0.16065920988831894}
{'val_loss': 1.76792849128445, 'train_loss': 0.5583917788229883, 'bleu_score': 0.1544727903230995}
{'val_loss': 1.7679092494150004, 'train_loss': 0.5458152900605152, 'bleu_score': 0.11681614548289845}
{'val_loss': 1.763731296857198, 'train_loss': 0.5338208089427402, 'bleu_score': 0.15547438026640775}
{'val_loss': 1.7547457637886206, 'train_loss': 0.5233268439614525, 'bleu_score': 0.14054285057626303}
{'val_loss': 1.7426563975711664, 'train_loss': 0.5134934043356528, 'bleu_score': 0.16064526611293514}
{'val_loss': 1.7388504857818285, 'train_loss': 0.5046675373489659, 'bleu_score': 0.18223349973891545}
{'val_loss': 1.7363734342157842, 'train_loss': 0.49531858498230574, 'bleu_score': 0.1450881729117387}
{'val_loss': 1.7246967770159245, 'train_loss': 0.48815002736325064, 'bleu_score': 0.19008871372900374}
{'val_loss': 1.7259894077976545, 'train_loss': 0.48029294732647637, 'bleu_score': 0.19008227816249598}
{'val_loss': 1.7208671311537425, 'train_loss': 0.47316729221493004, 'bleu_score': 0.16384052521453496}
{'val_loss': 1.718331274886926, 'train_loss': 0.466636064928025, 'bleu_score': 0.1786325094884544}
{'val_loss': 1.709216090788444, 'train_loss': 0.4597954043963303, 'bleu_score': 0.16999214290110942}
{'val_loss': 1.7136609787742296, 'train_loss': 0.45398622755892576, 'bleu_score': 0.13914331116632012}
{'val_loss': 1.7067013626297316, 'train_loss': 0.4484224925749004, 'bleu_score': 0.14990765643370035}
{'val_loss': 1.720027787486712, 'train_loss': 0.44274287899024783, 'bleu_score': 0.15372606953951862}
{'val_loss': 1.7276632239421208, 'train_loss': 0.43761912590513624, 'bleu_score': 0.18050413260507953}
{'val_loss': 1.7306583737333616, 'train_loss': 0.4321779371549686, 'bleu_score': 0.16955172477720293}
{'val_loss': 1.7152010947465897, 'train_loss': 0.4284903757274151, 'bleu_score': 0.11155610959916698}
{'val_loss': 1.7193300719062488, 'train_loss': 0.4234090791239093, 'bleu_score': 0.1908707352073008}
{'val_loss': 1.7228149553140004, 'train_loss': 0.4192328567771862, 'bleu_score': 0.17033657822537826}
{'val_loss': 1.706746048728625, 'train_loss': 0.4151354428535948, 'bleu_score': 0.17723709130382842}
{'val_loss': 1.7096721125145753, 'train_loss': 0.41075549538557726, 'bleu_score': 0.1381751991607787}
{'val_loss': 1.7304374878605207, 'train_loss': 0.4067103552011152, 'bleu_score': 0.16090958329044752}
{'val_loss': 1.7138010712961356, 'train_loss': 0.40296934003320833, 'bleu_score': 0.16259129663681932}
{'val_loss': 1.7163259310026964, 'train_loss': 0.4002026031725109, 'bleu_score': 0.17329507107732073}
{'val_loss': 1.7053590265413126, 'train_loss': 0.3957807737868279, 'bleu_score': 0.18606818462198838}
{'val_loss': 1.7211695561806362, 'train_loss': 0.3931251657971491, 'bleu_score': 0.16007945204954513}
{'val_loss': 1.7122666912774245, 'train_loss': 0.3895447682434072, 'bleu_score': 0.15832349228497034}
{'val_loss': 1.7203535777827104, 'train_loss': 0.3865596383654823, 'bleu_score': 0.11033010054843816}
