{'embedding_size': 256, 'hidden_size': 256, 'learning_rate': 0.001, 'epoch_num': 500, 'try_one_batch': False}
{'val_loss': 5.629261151949565, 'train_loss': 5.467225237687429, 'bleu_score': 0.009875995657310567}
{'val_loss': 4.825452971458435, 'train_loss': 4.232005387544632, 'bleu_score': 0.032007214763020694}
{'val_loss': 4.180554533004761, 'train_loss': 3.5375044494867325, 'bleu_score': 0.04332076728291576}
{'val_loss': 3.8038827737172443, 'train_loss': 3.0259342481692633, 'bleu_score': 0.05674060663366161}
{'val_loss': 3.496736494700114, 'train_loss': 2.6553352902332943, 'bleu_score': 0.07727883936424931}
{'val_loss': 3.326714813709259, 'train_loss': 2.3925458163022997, 'bleu_score': 0.10162362968909158}
{'val_loss': 3.1732080658276876, 'train_loss': 2.200419180591901, 'bleu_score': 0.09664260795853727}
{'val_loss': 3.0530889590581256, 'train_loss': 2.0518012255430222, 'bleu_score': 0.11835386640374398}
{'val_loss': 2.9384953419367474, 'train_loss': 1.9341418753067652, 'bleu_score': 0.11824215578734654}
{'val_loss': 2.8792487541834513, 'train_loss': 1.8351493989427885, 'bleu_score': 0.12240760030792383}
{'val_loss': 2.830284607410431, 'train_loss': 1.7537469819188118, 'bleu_score': 0.13901133461449833}
{'val_loss': 2.7862254937489825, 'train_loss': 1.682054086526235, 'bleu_score': 0.12024464477707308}
{'val_loss': 2.719412394364675, 'train_loss': 1.6190129041671752, 'bleu_score': 0.12072862712175836}
{'val_loss': 2.679072109858195, 'train_loss': 1.565796973804633, 'bleu_score': 0.14481384199036085}
{'val_loss': 2.637477473417918, 'train_loss': 1.5180339102943738, 'bleu_score': 0.15280150462426384}
{'val_loss': 2.6001250108083087, 'train_loss': 1.4761804237961769, 'bleu_score': 0.1600219479779094}
{'val_loss': 2.580381945768992, 'train_loss': 1.4360115403930347, 'bleu_score': 0.16843863638087064}
{'val_loss': 2.5408813118934632, 'train_loss': 1.4009020611643792, 'bleu_score': 0.16415237967524632}
{'val_loss': 2.522196424007416, 'train_loss': 1.3701678574085236, 'bleu_score': 0.15656728967712227}
{'val_loss': 2.537880170345306, 'train_loss': 1.339566445350647, 'bleu_score': 0.18262574710033724}
{'val_loss': 2.49673509200414, 'train_loss': 1.3141889840364456, 'bleu_score': 0.16905250297382157}
{'val_loss': 2.4814414501190187, 'train_loss': 1.287083970506986, 'bleu_score': 0.16845997691135275}
{'val_loss': 2.4742308855056763, 'train_loss': 1.2662710050741832, 'bleu_score': 0.17627760275044135}
{'val_loss': 2.4774680654207866, 'train_loss': 1.2432144343852998, 'bleu_score': 0.1623496963613503}
{'val_loss': 2.4570516904195148, 'train_loss': 1.2229354913036028, 'bleu_score': 0.17407588928387052}
{'val_loss': 2.4319310704867045, 'train_loss': 1.2045390367507935, 'bleu_score': 0.18404139718498763}
{'val_loss': 2.4156829953193664, 'train_loss': 1.1858296697338422, 'bleu_score': 0.17271624888539666}
